1,1,HILTI TE -1 - Vrtací kladivo,170,60,120,240,2000
1,2,HILTI TE -2 - Vrtací kladivo,170,60,120,240,2000
1,3,HILTI TE-16 - Kombinované Kladivo,350,120,240,600,5000
1,4,HILTI TE 30-C-AVR- Kombinované kladivo,350,120,240,600,5000
1,5,HILTI TE 50 - Kombinované kladivo,420,200,300,740,5000
1,6,HILTI TE-500 - Bourací kladivo,420,200,300,740,5000
1,7,HILTI TE-60 - Kombinované kladivo,420,200,300,740,5000
1,8,HILTI TE-70- Kombinované Kladivo,500,250,360,900,10000
1,9,HILTI TE-700 - Bourací kladivo,480,250,300,860,10000
1,10,HILTI TE -1000 - Bourací kladivo,550,280,350,1000,10000
1,11,Wacker EHB-11- Kombinované kladivo,550,250,350,900,10000
1,12,Pomalobìná vrtaèka FEIN DSKe,380,200,250,600,10000
1,13,AKU Hilti Vrtací Kladivo TE 6-A36-AVR,280,120,200,400,3000
1,14,"AKU. vrtaèka Hilti,Hitachi, Dewalt",280,120,200,400,3000
2,1,Vibraèní deska Wacker BPU 2540,750,360,480,1400,15000
2,2,Vibraèní deska  Wacker VP 2050      ,520,250,360,940,15000
2,3,Vibraèní deska Lumag VP 60,400,250,300,700,3000
2,4,Vibraèní deska Lumag RP 1100 PRO,450,250,300,800,5000
2,5,Ponornı vibrátor Wacker HMS M 1500,500,250,360,900,10000
2,6,"Vibraèní lišta TORNADO H, Enar 3 m",550,360,420,1000,10000
2,7,Vibraèní pìch (ába) Wacker BS 60-2I ,700,360,480,1300,15000
2,8,Gumová podloka na desku,50,- malá,100,- velká,0
3,1,Aku. Úhlová bruska HILTI AG 125 -A 22,300,100,200,500,5000
3,2,Úhlová bruska HILTI 230+Odsávání,450,250,300,800,4000
3,3,Diamantovı øezaè Ruèní HILTI DCH 300,500,200,300,900,10000
3,4,Aku.Okruní pila SCW 22-A HILTI (kocour),300,100,150,400,1000
3,5,Drákovací fréza do zdiva Sharks SH 1600,250,100,200,400,1000
3,6,Stolová pila Matrix TST 1500-250,300,150,200,500,2000
3,7,Pokosová pila Woodster SL10 Lu + stojan,300,150,20,500,3000
3,8,Diamantová el.pila na obklady Clipper,300,100,200,500,5000
3,9,Diamantová el.pila na obklady Matrix,200,70,120,300,1000
3,10,"Úhlová bruska HITACHI, MAKITA",300,150,200,500,4000
3,11,"Úhlová bruska HITACHI, MAKITA",100,50,60,150,500
3,12,Úhlová Dewalt bruska na betony,300,150,200,500,3000
3,13,Pøímoèará pila Bosch Profi,200,100,120,300,1000
3,14,Okruní pila (kocour) HITACHI,300,100,150,500,2000
3,15,Pila Ocaska (Meèoun),350,150,250,600,3000
3,16,Oscilaèní pila Bosch GOP 300,350,150,250,500,4000
3,17,Elektrická øetìzová pila Narex EPR 35-20,250,100,150,400,1000
3,18,Pásová bruska BBS 75 Berner,350,150,200,600,1000
3,19,Vibraèní bruska  Bosch PSS 200,220,120,170,300,1000
3,20,Elektrickı hoblík Berner BP 40-82 C,350,150,250,600,1000
3,21,Excentrická bruska DeWalt DWE 6423,200,100,150,300,1000
4,1,Vysavaè HILTI VC 20_U + oklep,450,240,340,800,6000
4,2,Vysavaè Karcher NT35/1 + oklep,450,240,340,800,6000
4,3,Èistiè Kobercù KARCHER PUZZI 100,370,250,300,640,5000
4,4,Zametaè samosbìrnı HAAGA 477,360,200,240,500,5000
4,5,Vysokotlaká myèka Hitachi AW  150,320,200,250,520,2000
4,6,Kalové èerpadlo Wacker PST 2400,400,200,300,700,5000
4,7,Vysoušeè AEG DWK-45BT 800W,420,200,270,720,5000
5,1,Motorová sekaèka Husqvarna R 147S,450,250,350,800,5000
5,2,Køovinoøez velkı STIHL FS 240,580,300,400,1060,7000
5,3,Køovinoøez malı STIHL FS 55,420,250,320,700,5000
5,4,Zahradní vysavaè /foukaè listí,150,0,0,0,500
5,5,Plotostøich-Lišta 65cm AEG-HES-65,180,100,120,300,500
5,6,Pùdní vrták do zemì motorovı Lumag,600,360,420,1100,4000
5,7,Pùdní vrták do zemì motorovı Vega,600,360,420,1100,4000
5,8,"Vrták do zemì, RUÈNÍ",100,0,0,150,500
5,9,Prùtokomìr Gardena vodní na hadici,30,0,0,0,0
5,10,Vozík s hadicí,30,0,0,0,0
5,11,"Postøikovaè tlakovı 8L, popruh",30,0,0,0,200
6,1,"Elektrocentrála Wacker GV 7000, Benzín",630,360,480,1100,10000
6,2,"Elektrocentrála German  LB 2600, Benzín",400,250,300,700,3000
6,3,Kompresor Aircraft 361/20 E,400,200,300,700,3000
6,4,Prodluovák na vzduch,50,0,0,0,500
6,5,Prodluovací Kabely,100,0,0,0,500
6,6,Reflektory se stojanem,120,0,0,0,1000
7,1,Invertor Pegas 160E Alfa in,420,220,270,720,5000
7,2,Sváøecí kukla Samostmívací ASK 300,50,0,0,0,500
7,3,Sváøeèka Plastu - Pøímá regulace,150,50,100,200,1000
